"id","createdAt","updatedAt","game_date","week_number","away_team_points","home_team_points","away_team_id","home_team_id","user_id","location"
1152,2025-12-15 10:59:08.744 -0500,2025-12-15 10:59:08.744 -0500,2025-09-28 13:00:00.000 -0400,4,27,34,19,27,1,Mercedes-Benz Stadium
1153,2025-12-15 10:59:08.747 -0500,2025-12-15 10:59:08.747 -0500,2025-09-28 13:00:00.000 -0400,4,19,31,28,2,1,Highmark Stadium
1154,2025-12-15 10:59:08.749 -0500,2025-12-15 10:59:08.749 -0500,2025-09-28 13:00:00.000 -0400,4,10,34,8,23,1,Ford Field
1155,2025-12-15 10:59:08.752 -0500,2025-12-15 10:59:08.752 -0500,2025-09-28 13:00:00.000 -0400,4,0,26,12,10,1,NRG Stadium
1156,2025-12-15 10:59:08.755 -0500,2025-12-15 10:59:08.755 -0500,2025-09-28 13:00:00.000 -0400,4,13,42,9,1,1,Gillette Stadium
1157,2025-12-15 10:59:08.757 -0500,2025-12-15 10:59:08.757 -0500,2025-09-28 13:00:00.000 -0400,4,18,21,14,20,1,MetLife Stadium
1158,2025-12-15 10:59:08.760 -0500,2025-12-15 10:59:08.760 -0500,2025-09-28 13:00:00.000 -0400,4,31,25,17,26,1,Raymond James Stadium
1159,2025-12-15 10:59:08.763 -0500,2025-12-15 10:59:08.763 -0500,2025-09-28 16:05:00.000 -0400,4,20,27,11,29,1,SoFi Stadium
1160,2025-12-15 10:59:08.766 -0500,2025-12-15 10:59:08.766 -0500,2025-09-28 16:05:00.000 -0400,4,26,21,25,31,1,Levi's Stadium
1161,2025-12-15 10:59:08.769 -0500,2025-12-15 10:59:08.769 -0500,2025-09-28 16:25:00.000 -0400,4,20,37,6,15,1,GEHA Field at Arrowhead Stadium
1162,2025-12-15 10:59:08.772 -0500,2025-12-15 10:59:08.772 -0500,2025-09-28 16:25:00.000 -0400,4,25,24,22,16,1,Allegiant Stadium
1163,2025-12-15 10:59:08.774 -0500,2025-12-15 10:59:08.774 -0500,2025-09-28 20:20:00.000 -0400,4,40,40,21,18,1,AT&T Stadium
1164,2025-12-15 10:59:08.777 -0500,2025-12-15 10:59:08.777 -0500,2025-09-29 19:15:00.000 -0400,4,21,27,4,3,1,Hard Rock Stadium
1165,2025-12-15 10:59:08.779 -0500,2025-12-15 10:59:08.779 -0500,2025-09-29 20:15:00.000 -0400,4,3,28,7,13,1,Empower Field at Mile High
1166,2025-12-15 10:59:08.782 -0500,2025-12-15 10:59:08.782 -0500,2025-10-02 20:15:00.000 -0400,5,26,23,31,29,1,SoFi Stadium
1167,2025-12-15 10:59:08.785 -0500,2025-12-15 10:59:08.785 -0500,2025-10-05 09:30:00.000 -0400,5,21,17,24,8,1,Tottenham Hotspur Stadium
1168,2025-12-15 10:59:08.787 -0500,2025-12-15 10:59:08.787 -0500,2025-10-05 13:00:00.000 -0400,5,44,10,10,6,1,M&T Bank Stadium
1169,2025-12-15 10:59:08.790 -0500,2025-12-15 10:59:08.790 -0500,2025-10-05 13:00:00.000 -0400,5,24,27,3,9,1,Bank of America Stadium
1170,2025-12-15 10:59:08.792 -0500,2025-12-15 10:59:08.792 -0500,2025-10-05 13:00:00.000 -0400,5,6,40,16,11,1,Lucas Oil Stadium
1171,2025-12-15 10:59:08.795 -0500,2025-12-15 10:59:08.795 -0500,2025-10-05 13:00:00.000 -0400,5,14,26,20,28,1,Caesars Superdome
1172,2025-12-15 10:59:08.798 -0500,2025-12-15 10:59:08.798 -0500,2025-10-05 13:00:00.000 -0400,5,37,22,18,4,1,MetLife Stadium
1173,2025-12-15 10:59:08.801 -0500,2025-12-15 10:59:08.801 -0500,2025-10-05 13:00:00.000 -0400,5,21,17,13,17,1,Lincoln Financial Field
1174,2025-12-15 10:59:08.803 -0500,2025-12-15 10:59:08.803 -0500,2025-10-05 16:05:00.000 -0400,5,22,21,12,32,1,State Farm Stadium
1175,2025-12-15 10:59:08.805 -0500,2025-12-15 10:59:08.805 -0500,2025-10-05 16:05:00.000 -0400,5,38,35,26,30,1,Lumen Field
1176,2025-12-15 10:59:08.808 -0500,2025-12-15 10:59:08.808 -0500,2025-10-05 16:25:00.000 -0400,5,37,24,23,7,1,Paycor Stadium
1177,2025-12-15 10:59:08.811 -0500,2025-12-15 10:59:08.811 -0500,2025-10-05 16:25:00.000 -0400,5,27,10,19,14,1,SoFi Stadium
1178,2025-12-15 10:59:08.813 -0500,2025-12-15 10:59:08.813 -0500,2025-10-05 20:20:00.000 -0400,5,23,20,1,2,1,Highmark Stadium
1179,2025-12-15 10:59:08.816 -0500,2025-12-15 10:59:08.816 -0500,2025-10-06 20:15:00.000 -0400,5,28,31,15,25,1,EverBank Stadium
1180,2025-12-15 10:59:08.819 -0500,2025-12-15 10:59:08.819 -0500,2025-10-09 20:15:00.000 -0400,6,17,34,17,20,1,MetLife Stadium
1181,2025-12-15 10:59:08.821 -0500,2025-12-15 10:59:08.821 -0500,2025-10-12 09:30:00.000 -0400,6,13,11,13,4,1,Tottenham Hotspur Stadium
1182,2025-12-15 10:59:08.824 -0500,2025-12-15 10:59:08.824 -0500,2025-10-12 13:00:00.000 -0400,6,17,3,29,6,1,M&T Bank Stadium
1183,2025-12-15 10:59:08.827 -0500,2025-12-15 10:59:08.827 -0500,2025-10-12 13:00:00.000 -0400,6,27,30,18,9,1,Bank of America Stadium
1184,2025-12-15 10:59:08.831 -0500,2025-12-15 10:59:08.831 -0500,2025-10-12 13:00:00.000 -0400,6,27,31,32,11,1,Lucas Oil Stadium
1185,2025-12-15 10:59:08.833 -0500,2025-12-15 10:59:08.833 -0500,2025-10-12 13:00:00.000 -0400,6,20,12,30,25,1,EverBank Stadium
1186,2025-12-15 10:59:08.835 -0500,2025-12-15 10:59:08.835 -0500,2025-10-12 13:00:00.000 -0400,6,29,27,14,3,1,Hard Rock Stadium
1187,2025-12-15 10:59:08.837 -0500,2025-12-15 10:59:08.837 -0500,2025-10-12 13:00:00.000 -0400,6,9,23,8,5,1,Acrisure Stadium
1188,2025-12-15 10:59:08.840 -0500,2025-12-15 10:59:08.840 -0500,2025-10-12 13:00:00.000 -0400,6,25,19,1,28,1,Caesars Superdome
1189,2025-12-15 10:59:08.842 -0500,2025-12-15 10:59:08.842 -0500,2025-10-12 16:05:00.000 -0400,6,10,20,12,16,1,Allegiant Stadium
1190,2025-12-15 10:59:08.845 -0500,2025-12-15 10:59:08.845 -0500,2025-10-12 16:25:00.000 -0400,6,19,30,31,26,1,Raymond James Stadium
1191,2025-12-15 10:59:08.848 -0500,2025-12-15 10:59:08.848 -0500,2025-10-12 16:25:00.000 -0400,6,18,27,7,21,1,Lambeau Field
1192,2025-12-15 10:59:08.851 -0500,2025-12-15 10:59:08.851 -0500,2025-10-12 20:20:00.000 -0400,6,17,30,23,15,1,GEHA Field at Arrowhead Stadium
1193,2025-12-15 10:59:08.854 -0500,2025-12-15 10:59:08.854 -0500,2025-10-13 19:15:00.000 -0400,6,14,24,2,27,1,Mercedes-Benz Stadium
1194,2025-12-15 10:59:08.856 -0500,2025-12-15 10:59:08.856 -0500,2025-10-13 20:15:00.000 -0400,6,25,24,22,19,1,Northwest Stadium
1195,2025-12-15 10:59:08.859 -0500,2025-12-15 10:59:08.859 -0500,2025-10-16 20:15:00.000 -0400,7,31,33,5,7,1,Paycor Stadium
1196,2025-12-15 10:59:08.862 -0500,2025-12-15 10:59:08.862 -0500,2025-10-19 09:30:00.000 -0400,7,35,7,29,25,1,Wembley Stadium
1197,2025-12-15 10:59:08.865 -0500,2025-12-15 10:59:08.865 -0500,2025-10-19 13:00:00.000 -0400,7,14,26,28,22,1,Soldier Field
